Variable,Category,Count,Percentage
Age,18–22,331,63.78
Age,23–30,130,25.05
Age,31–40,35,6.74
Age,41–50,15,2.89
Age,Below 18,6,1.16
Age,Above 30,2,0.39
Gender,Male,279,53.76
Gender,Female,226,43.55
Gender,Prefer not to say,7,1.35
Gender,Non-binary,7,1.35
