Variable,Category,Count,Percentage
Daily_Usage_Hours,1–3 hours,222,42.77
Daily_Usage_Hours,3–5 hours,158,30.44
Daily_Usage_Hours,More than 5 hours,83,15.99
Daily_Usage_Hours,Less than 1 hour,56,10.79
