Ordinal_Code,Mental_Health_Impact_Class,Frequency,Valid_Percentage (%),Total_Percentage (%)
0,Not at all,229,44.55,44.12
1,Slightly,137,26.65,26.4
2,Moderately,107,20.82,20.62
3,Severely,41,7.98,7.9
