Variable,Category,Count,Percentage
Experienced_Cyberbullying,No,350,67.44
Experienced_Cyberbullying,Yes,168,32.37
Cyberbullying_Frequency,Never,201,38.73
Cyberbullying_Frequency,Rarely,188,36.22
Cyberbullying_Frequency,Sometimes,85,16.38
Cyberbullying_Frequency,Often,23,4.43
Cyberbullying_Frequency,Very Often,15,2.89
