Timestamp,[SECTION A: Basic Information] 1. What is your age?,2. What is your gender?,[SECTION B: Social Media Usage] 3. Which social media platforms do you use regularly? (Select all that apply),4. How many hours do you spend on social media per day?,[SECTION C: Cyberbullying Experience] 5. Have you personally experienced cyberbullying or online harassment on social media?,6. Have you ever witnessed someone being cyberbullied?,"7. Have you ever posted, shared, or sent a message online that could have hurt or offended someone?","8. If yes, what was the main reason for your action?",9. What type of cyberbullying have you experienced or observed? (Select all that apply),10. On which social media platform did the incident occur?,11. How often have you experienced cyberbullying or online harassment?,[SECTION D: Mental Health Impact] 12. Do you think cyberbullying or online harassment affected your mental health?,13. Which of the following did you experience? (Select all that apply),"14. On a scale of 1–5, how severe was the emotional impact?",15. Did you seek help from anyone? (Select all that apply),"[SECTION E: Cyber Law Awareness and Prevention] 16. If you did not report the incident, what was the main reason?",17. In which area did you experience cyberbullying or online harassment?,18. What action did you take after experiencing cyberbullying or online harassment? (Select all that apply)
09-10-2026 07:41,18–22,Male,"Instagram, WhatsApp, YouTube, Others",3–5 hours,Yes,Yes,No,Self-defense,"Offensive Comments, Hate Speech, Fake Profile",Instagram,Rarely,Slightly,Anger,3,"Friends, No",Didn't think it was serious,Social Media Community,"Ignored it, Blocked the user, Reported the account"
09-10-2026 07:43,18–22,Male,YouTube,1–3 hours,No,No,No,Not Applicable,Fake Rumors,Facebook,Rarely,Moderately,Anger,2,"Friends, Family",Lack of Awareness,School / College,Ignored it
09-10-2026 07:57,18–22,Male,"Instagram, WhatsApp, YouTube",1–3 hours,No,No,No,Not Applicable,"Hate Speech, Threats, Fake Rumors, Fake Profile",Instagram,Never,Severely,"Stress, Depression, Loss of Confidence",3,"Friends, Family, No",Fear,School / College,"Reported the account, Told Friends / Family"
09-10-2026 08:13,18–22,Female,"Instagram, WhatsApp, YouTube",1–3 hours,No,No,No,Not Applicable,Stalking,Instagram,Never,Not at all,None,1 (Very Low),,Not Applicable,,
09-10-2026 09:07,23–30,Male,"Instagram, WhatsApp, YouTube, X (Twitter), Facebook, Others",1–3 hours,Yes,Yes,No,Not Applicable,"Fake Rumors, Fake Profile",WhatsApp,Rarely,Not at all,None,1 (Very Low),No,Not Applicable,Unknown Stranger,"Blocked the user, Reported the account"
09-10-2026 09:10,18–22,Male,"Instagram, WhatsApp, YouTube",1–3 hours,No,No,No,I was angry,"Body Shaming, Hate Speech, Fake Rumors, Fake Profile",Others,Rarely,Not at all,"Stress, Depression",2,Friends,Not Applicable,Friends Circle,"Ignored it, Blocked the user, Reported the account"
09-10-2026 09:16,18–22,Female,"Instagram, WhatsApp",3–5 hours,Yes,Yes,No,Not Applicable,"Offensive Comments, Hate Speech, Fake Rumors, Fake Profile",WhatsApp,Sometimes,Severely,"Stress, Depression",5 (Very High),Friends,Not Applicable,Unknown Stranger,"Blocked the user, Reported the account, Told Friends / Family"
09-10-2026 09:17,18–22,Female,Instagram,1–3 hours,No,No,No,Not Applicable,"Offensive Comments, Body Shaming, Fake Rumors, Fake Profile, Stalking",Instagram,,Severely,,4,Friends,Not Applicable,,
09-10-2026 13:16,18–22,Female,"Instagram, WhatsApp, YouTube",More than 5 hours,,No,Not Sure,Peer pressure,Fake Rumors,YouTube,Rarely,Slightly,Anxiety,1 (Very Low),Psychologist,Didn't know how to report,Online Gaming,Told Friends / Family
09-10-2026 14:01,18–22,Female,"WhatsApp, YouTube",1–3 hours,No,No,Not Sure,I did not realize it was harmful,Other,Others,Sometimes,Not at all,None,3,No,Privacy Concerns,Other,Blocked the user
09-11-2026 00:43,23–30,Male,YouTube,1–3 hours,No,No,Not Sure,I did not realize it was harmful,Fake Profile,Instagram,Rarely,Slightly,Anger,1 (Very Low),Friends,Didn't think it was serious,School / College,Blocked the user
9/23/2026 15:05:07,18–22,Male,Instagram,Less than 1 hour,No,No,Not Sure,I did not realize it was harmful,Other,Others,Very Often,Not at all,None,1 (Very Low),No,Privacy Concerns,Other,Ignored it
9/23/2026 15:06:22,Below 18,Male,Instagram,Less than 1 hour,No,No,No,I did not realize it was harmful,Other,Others,Never,Not at all,None,1 (Very Low),No,Fear,Other,Ignored it
9/23/2026 15:07:14,Below 18,Male,Others,Less than 1 hour,No,No,Not Sure,I did not realize it was harmful,Other,Others,Very Often,Not at all,None,1 (Very Low),No,Privacy Concerns,Other,Ignored it
9/23/2026 15:08:48,18–22,Male,Instagram,Less than 1 hour,No,No,Not Sure,I did not realize it was harmful,Other,Others,Never,Not at all,None,1 (Very Low),No,Fear,Other,Ignored it
9/23/2026 15:09:44,18–22,Male,Instagram,Less than 1 hour,No,No,Not Sure,I did not realize it was harmful,Other,Others,Never,Not at all,None,,No,Privacy Concerns,Other,Ignored it
9/23/2026 15:10:42,18–22,Male,Instagram,Less than 1 hour,No,No,Not Sure,I did not realize it was harmful,Other,Instagram,Never,Not at all,None,1 (Very Low),No,Privacy Concerns,Other,Ignored it
9/23/2026 15:11:28,18–22,Male,Others,Less than 1 hour,No,No,Not Sure,I did not realize it was harmful,Other,Others,Very Often,Slightly,None,1 (Very Low),No,Privacy Concerns,Other,Ignored it
9/23/2026 18:04:42,18–22,Male,Instagram,Less than 1 hour,No,No,Not Sure,I did not realize it was harmful,Other,Others,Never,Not at all,None,1 (Very Low),No,Privacy Concerns,Other,Ignored it
9/23/2026 18:57:23,18–22,Male,Others,Less than 1 hour,No,No,Not Sure,I did not realize it was harmful,Other,Others,Never,Not at all,None,1 (Very Low),No,Privacy Concerns,Other,Ignored it
9/23/2026 18:58:33,18–22,Male,Others,Less than 1 hour,No,No,Not Sure,I did not realize it was harmful,Other,Others,Never,Not at all,None,,No,Privacy Concerns,Other,Ignored it
9/23/2026 19:00:04,Below 18,Male,Others,Less than 1 hour,No,No,Not Sure,I did not realize it was harmful,Other,Others,Never,Not at all,None,1 (Very Low),No,Privacy Concerns,Other,Blocked the user
