Timestamp,[SECTION A: Basic Information] 1. What is your age?,2. What is your gender?,[SECTION B: Social Media Usage] 3. Which social media platforms do you use regularly? (Select all that apply),4. How many hours do you spend on social media per day?,[SECTION C: Cyberbullying Experience] 5. Have you personally experienced cyberbullying or online harassment on social media?,6. Have you ever witnessed someone being cyberbullied?,"7. Have you ever posted, shared, or sent a message online that could have hurt or offended someone?","8. If yes, what was the main reason for your action?",9. What type of cyberbullying have you experienced or observed? (Select all that apply),10. On which social media platform did the incident occur?,11. How often have you experienced cyberbullying or online harassment?,[SECTION D: Mental Health Impact] 12. Do you think cyberbullying or online harassment affected your mental health?,13. Which of the following did you experience? (Select all that apply),"14. On a scale of 1–5, how severe was the emotional impact?",15. Did you seek help from anyone? (Select all that apply),"[SECTION E: Cyber Law Awareness and Prevention] 16. If you did not report the incident, what was the main reason?",17. In which area did you experience cyberbullying or online harassment?,18. What action did you take after experiencing cyberbullying or online harassment? (Select all that apply)
13-09-2026 11:49,18–22,Female,"Instagram, WhatsApp, YouTube",More than 5 hours,No,Yes,No,Not Applicable,Hate Speech,Instagram,Never,Slightly,None,1 (Very Low),No,Not Applicable,School / College,Blocked the user
13-09-2026 11:59,18–22,Male,Instagram,More than 5 hours,Yes,No,No,Not Applicable,"Fake Rumors, Fake Profile",Instagram,Sometimes,Slightly,None,3,No,Lack of Awareness,Social Media Community,Blocked the user
13-09-2026 11:59,23–30,Male,"Instagram, WhatsApp",3–5 hours,No,No,No,Not Applicable,Hate Speech,Instagram,Never,Slightly,None,1 (Very Low),No,Not Applicable,Social Media Community,Took No Action
13-09-2026 12:04,23–30,Female,Others,1–3 hours,No,No,No,Not Applicable,Body Shaming,Instagram,Never,Slightly,Anger,3,No,Lack of Awareness,Family,Ignored it
13-09-2026 12:10,18–22,Female,"Instagram, WhatsApp",3–5 hours,No,Yes,No,Not Applicable,Stalking,Instagram,Sometimes,Not at all,Loss of Confidence,3,No,Not Applicable,Unknown Stranger,"Ignored it, Blocked the user"
13-09-2026 12:15,18–22,Female,"Instagram, WhatsApp, YouTube, Others",1–3 hours,No,Yes,Yes,I did not realize it was harmful,Fake Rumors,WhatsApp,Never,Not at all,None,2,No,Not Applicable,Social Media Community,"Ignored it, Blocked the user"
13-09-2026 12:36,18–22,Female,Instagram,3–5 hours,Yes,Yes,No,Not Applicable,Hate Speech,WhatsApp,Sometimes,Moderately,Loss of Confidence,4,"Friends, Family",No reason,Unknown Stranger,Ignored it
13-09-2026 12:55,23–30,Male,YouTube,1–3 hours,No,Yes,Yes,Self-defense,Fake Rumors,Instagram,Rarely,Moderately,None,1 (Very Low),Family,Lack of Awareness,Social Media Community,Told Friends / Family
13-09-2026 12:57,18–22,Male,"Instagram, WhatsApp",1–3 hours,No,No,No,Not Applicable,Offensive Comments,YouTube,Never,Slightly,None,2,No,Lack of Awareness,Social Media Community,Ignored it
13-09-2026 13:26,18–22,Female,"WhatsApp, YouTube",3–5 hours,No,No,No,Not Applicable,Threats,WhatsApp,Rarely,Not at all,None,2,No,Lack of Awareness,Social Media Community,Took No Action
13-09-2026 13:51,41–50,Male,"WhatsApp, YouTube",1–3 hours,No,No,No,Not Applicable,Threats,Instagram,Never,Slightly,None,1 (Very Low),Family,Didn't think it was serious,School / College,Ignored it
13-09-2026 14:00,31–40,Male,"WhatsApp, YouTube",3–5 hours,No,Yes,Yes,For fun,Fake Profile,WhatsApp,Rarely,Not at all,None,1 (Very Low),No,Not Applicable,Social Media Community,Took No Action
13-09-2026 16:51,23–30,Male,"Instagram, WhatsApp, YouTube",More than 5 hours,No,Yes,No,Not Applicable,Offensive Comments,YouTube,Never,Slightly,Loss of Confidence,3,No,Lack of Awareness,Unknown Stranger,Blocked the user
13-09-2026 16:58,23–30,Female,WhatsApp,3–5 hours,Yes,Yes,No,Not Applicable,Offensive Comments,WhatsApp,Rarely,Slightly,Loss of Confidence,4,"Friends, Family",Lack of Awareness,Social Media Community,Took No Action
13-09-2026 19:30,23–30,Female,"Instagram, WhatsApp",Less than 1 hour,No,Yes,No,Not Applicable,Body Shaming,Others,Rarely,Slightly,Loss of Confidence,2,Friends,Not Applicable,Family,Blocked the user
13-09-2026 19:49,18–22,Female,Instagram,3–5 hours,No,No,No,Not Applicable,Offensive Comments,YouTube,Never,Not at all,Anxiety,1 (Very Low),Friends,Didn't think it was serious,Friends Circle,Took No Action
13-09-2026 20:18,41–50,Female,"Instagram, WhatsApp, YouTube, Others",More than 5 hours,Yes,Yes,No,Not Applicable,Fake Profile,Others,Rarely,Severely,"Stress, Depression, Anger",4,Psychologist,Lack of Awareness,Social Media Community,Took No Action
13-09-2026 23:16,23–30,Female,Instagram,3–5 hours,Yes,No,No,Not Applicable,Threats,WhatsApp,Never,Severely,Loss of Confidence,4,Friends,No reason,Social Media Community,Ignored it
13-09-2026 23:21,18–22,Female,"WhatsApp, YouTube",1–3 hours,No,Yes,Yes,To respond to the person,Offensive Comments,Instagram,Rarely,Slightly,None,1 (Very Low),Friends,Didn't think it was serious,Unknown Stranger,Took No Action
13-09-2026 23:39,18–22,Male,"Instagram, WhatsApp, YouTube",Less than 1 hour,No,Yes,Yes,To respond to the person,Hate Speech,Instagram,Never,Moderately,None,1 (Very Low),No,Not Applicable,Friends Circle,Blocked the user
14-09-2026 00:24,31–40,Female,"Instagram, WhatsApp, YouTube",1–3 hours,No,No,No,Not Applicable,Fake Rumors,Others,Never,Not at all,Anxiety,1 (Very Low),Family,Not Applicable,Social Media Community,Ignored it
14-09-2026 01:03,18–22,Female,YouTube,1–3 hours,Yes,Yes,No,Not Applicable,Offensive Comments,Facebook,Rarely,Moderately,"Stress, Depression, Anger",1 (Very Low),Friends,Didn't know how to report,Friends Circle,"Blocked the user, Reported the account"
14-09-2026 05:13,23–30,Male,"WhatsApp, YouTube",3–5 hours,No,Yes,No,Not Applicable,Body Shaming,Instagram,Rarely,Not at all,Anger,3,No,Didn't think it was serious,Social Media Community,Ignored it
14-09-2026 05:50,18–22,Female,"WhatsApp, YouTube",1–3 hours,Yes,Yes,Yes,I did not realize it was harmful,Body Shaming,WhatsApp,Rarely,Severely,"Stress, Depression, Loss of Confidence",2,No,Didn't think it was serious,Social Media Community,"Reported the account, Told Friends / Family"
14-09-2026 05:52,23–30,Male,WhatsApp,More than 5 hours,Yes,Yes,No,Not Applicable,Fake Rumors,WhatsApp,Rarely,Moderately,"Stress, Depression, Anger",1 (Very Low),Friends,Didn't think it was serious,Social Media Community,Blocked the user
14-09-2026 05:57,18–22,Male,"WhatsApp, YouTube",1–3 hours,No,Yes,No,Not Applicable,Offensive Comments,Instagram,Never,Not at all,Loss of Confidence,1 (Very Low),No,Not Applicable,Unknown Stranger,Ignored it
14-09-2026 06:08,18–22,Female,WhatsApp,1–3 hours,Yes,No,Yes,Peer pressure,"Offensive Comments, Body Shaming, Fake Rumors",Others,Often,Moderately,Loss of Confidence,4,Family,Fear,Social Media Community,"Blocked the user, Reported the account"
14-09-2026 07:55,23–30,Female,"Instagram, WhatsApp, YouTube, Others",1–3 hours,Yes,No,No,Not Applicable,Offensive Comments,WhatsApp,Never,Severely,Anxiety,5 (Very High),Friends,Fear,Friends Circle,"Reported the account, Told Friends / Family"
14-09-2026 08:01,23–30,Female,"WhatsApp, YouTube",3–5 hours,No,Yes,No,Not Applicable,Threats,YouTube,Never,Moderately,Loss of Confidence,1 (Very Low),Friends,Didn't think it was serious,Unknown Stranger,"Reported the account, Told Friends / Family"
14-09-2026 09:27,18–22,Male,Facebook,1–3 hours,No,No,Yes,I was angry,Fake Profile,Instagram,Sometimes,Not at all,None,1 (Very Low),No,Didn't think it was serious,Family,Took No Action
14-09-2026 10:00,18–22,Female,YouTube,1–3 hours,Yes,No,No,Not Applicable,"Hate Speech, Threats, Fake Rumors, Fake Profile",YouTube,Sometimes,Moderately,"Stress, Depression",5 (Very High),Psychologist,Didn't know how to report,Unknown Stranger,"Blocked the user, Reported the account, Told Friends / Family"
14-09-2026 10:40,18–22,Male,"Instagram, WhatsApp, YouTube",Less than 1 hour,No,Yes,Yes,For fun,Offensive Comments,WhatsApp,Never,Not at all,Anger,3,No,Not Applicable,Social Media Community,Ignored it
14-09-2026 10:43,18–22,Female,Instagram,3–5 hours,Yes,No,No,Not Applicable,Hate Speech,Facebook,Rarely,Severely,Loss of Confidence,1 (Very Low),"Friends, Family",Fear,School / College,"Blocked the user, Reported the account"
14-09-2026 11:30,31–40,Male,"Instagram, WhatsApp",3–5 hours,No,Yes,No,Not Applicable,Fake Rumors,Facebook,Rarely,Moderately,None,1 (Very Low),No,Lack of Awareness,Social Media Community,Blocked the user
14-09-2026 12:25,18–22,Female,"Instagram, WhatsApp, YouTube, Others",Less than 1 hour,No,Yes,No,Not Applicable,Offensive Comments,WhatsApp,Never,Not at all,None,1 (Very Low),Friends,Lack of Awareness,Social Media Community,"Blocked the user, Reported the account"
14-09-2026 12:36,23–30,Female,Instagram,3–5 hours,No,Yes,Yes,To respond to the person,Fake Rumors,Instagram,Sometimes,Not at all,Anxiety,1 (Very Low),Family,Not Applicable,Unknown Stranger,"Blocked the user, Reported the account, Told Friends / Family"
14-09-2026 12:37,23–30,Male,"Instagram, WhatsApp, YouTube",3–5 hours,No,Yes,No,Not Applicable,Body Shaming,YouTube,Rarely,Moderately,None,2,Family,Didn't think it was serious,Online Gaming,Blocked the user
14-09-2026 13:07,23–30,Male,"WhatsApp, YouTube",3–5 hours,No,Yes,No,Not Applicable,Offensive Comments,YouTube,Never,Not at all,None,1 (Very Low),Family,Didn't think it was serious,Unknown Stranger,Ignored it
14-09-2026 13:33,18–22,Male,"Instagram, WhatsApp",1–3 hours,No,No,No,Not Applicable,Body Shaming,YouTube,Never,Not at all,Anxiety,1 (Very Low),Family,Didn't think it was serious,Friends Circle,Took No Action
14-09-2026 13:35,18–22,Female,YouTube,1–3 hours,Yes,Yes,No,Not Applicable,"Offensive Comments, Hate Speech, Fake Profile",WhatsApp,Never,Severely,Anger,1 (Very Low),No,Privacy Concerns,Unknown Stranger,Took No Action
14-09-2026 16:03,18–22,Male,"WhatsApp, YouTube",1–3 hours,No,Yes,No,Not Applicable,Fake Profile,Instagram,Never,Slightly,None,1 (Very Low),No,Didn't think it was serious,Family,Ignored it
14-09-2026 17:46,18–22,Male,Instagram,1–3 hours,No,Yes,No,Not Applicable,Stalking,WhatsApp,Never,Not at all,Loss of Confidence,1 (Very Low),Friends,Not Applicable,Other,"Blocked the user, Reported the account"
14-09-2026 18:28,18–22,Male,"Instagram, WhatsApp, YouTube",More than 5 hours,No,No,No,Not Applicable,Fake Rumors,YouTube,Rarely,Moderately,None,3,Friends,Not Applicable,School / College,Took No Action
14-09-2026 19:12,18–22,Female,"Instagram, WhatsApp, YouTube, Others",1–3 hours,Yes,No,No,Not Applicable,Fake Profile,Others,Sometimes,Moderately,"Stress, Depression",4,Friends,Privacy Concerns,Online Gaming,Blocked the user
14-09-2026 19:52,23–30,Female,WhatsApp,3–5 hours,No,Yes,No,Not Applicable,Body Shaming,WhatsApp,Rarely,Not at all,None,1 (Very Low),Family,Lack of Awareness,Social Media Community,Took No Action
14-09-2026 22:05,18–22,Female,Facebook,1–3 hours,Yes,No,No,Not Applicable,Stalking,Others,Rarely,Moderately,Anger,4,"Friends, Family",Lack of Awareness,Unknown Stranger,"Ignored it, Blocked the user"
14-09-2026 22:52,31–40,Female,WhatsApp,1–3 hours,No,Yes,No,Not Applicable,Offensive Comments,WhatsApp,Rarely,Not at all,Anger,1 (Very Low),No,Not Applicable,Social Media Community,Ignored it
14-09-2026 22:56,18–22,Female,YouTube,3–5 hours,No,Yes,No,Not Applicable,Fake Profile,Instagram,Rarely,Not at all,None,1 (Very Low),No,Lack of Awareness,Unknown Stranger,Blocked the user
14-09-2026 23:10,18–22,Male,"Instagram, WhatsApp, YouTube",More than 5 hours,Yes,Yes,No,Not Applicable,Hate Speech,WhatsApp,Sometimes,Moderately,"Stress, Depression, Loss of Confidence",4,"Friends, No",No reason,Friends Circle,Took No Action
15-09-2026 01:49,31–40,Female,"Instagram, WhatsApp, YouTube",1–3 hours,Yes,Yes,No,Not Applicable,"Fake Rumors, Fake Profile",Instagram,Rarely,Moderately,"Stress, Depression, Anger",1 (Very Low),"Friends, Family",Lack of Awareness,Unknown Stranger,Ignored it
15-09-2026 02:13,18–22,Male,"Instagram, WhatsApp",3–5 hours,No,No,No,Not Applicable,Offensive Comments,Instagram,Sometimes,Not at all,None,2,No,Didn't think it was serious,Social Media Community,Blocked the user
15-09-2026 03:09,18–22,Male,WhatsApp,More than 5 hours,No,No,No,Not Applicable,Body Shaming,Facebook,Rarely,Not at all,None,1 (Very Low),Friends,Lack of Awareness,Friends Circle,Blocked the user
15-09-2026 03:21,23–30,Female,"Instagram, WhatsApp",1–3 hours,No,No,No,Not Applicable,Offensive Comments,Others,Sometimes,Not at all,None,1 (Very Low),Family,Not Applicable,Unknown Stranger,Took No Action
15-09-2026 03:44,18–22,Male,"Instagram, WhatsApp",1–3 hours,No,Yes,No,Not Applicable,Body Shaming,Facebook,Never,Moderately,None,1 (Very Low),No,Lack of Awareness,Social Media Community,"Blocked the user, Reported the account, Told Friends / Family"
15-09-2026 05:17,18–22,Male,"Instagram, WhatsApp, YouTube",3–5 hours,No,No,No,Not Applicable,Hate Speech,Instagram,Rarely,Not at all,Anxiety,1 (Very Low),No,Not Applicable,Social Media Community,Blocked the user
15-09-2026 06:52,18–22,Female,"Instagram, WhatsApp, YouTube",Less than 1 hour,No,No,No,Not Applicable,Fake Profile,Instagram,Rarely,Slightly,None,3,No,Didn't think it was serious,Social Media Community,Took No Action
15-09-2026 07:46,18–22,Female,WhatsApp,More than 5 hours,No,No,Yes,I was angry,Offensive Comments,WhatsApp,Never,Not at all,Loss of Confidence,2,Family,Lack of Awareness,Other,Took No Action
15-09-2026 07:46,18–22,Male,"WhatsApp, YouTube",3–5 hours,Yes,Yes,No,Not Applicable,Fake Profile,WhatsApp,Never,Moderately,"Stress, Depression",3,No,Didn't think it was serious,Social Media Community,Told Friends / Family
15-09-2026 09:39,23–30,Female,WhatsApp,Less than 1 hour,Yes,No,Yes,Self-defense,"Hate Speech, Threats, Fake Rumors, Fake Profile",WhatsApp,Sometimes,Slightly,"Stress, Depression",2,Friends,Privacy Concerns,Friends Circle,Blocked the user
15-09-2026 09:46,31–40,Male,Facebook,3–5 hours,No,No,No,Not Applicable,Offensive Comments,WhatsApp,Never,Moderately,None,3,No,Not Applicable,Unknown Stranger,Took No Action
15-09-2026 10:55,18–22,Female,YouTube,1–3 hours,No,Yes,No,Not Applicable,Offensive Comments,WhatsApp,Sometimes,Slightly,None,2,No,Not Applicable,Social Media Community,Ignored it
15-09-2026 11:03,18–22,Male,"Instagram, WhatsApp, YouTube",3–5 hours,No,No,No,Not Applicable,Threats,Instagram,Never,Slightly,Loss of Confidence,1 (Very Low),No,Not Applicable,Unknown Stranger,Took No Action
15-09-2026 11:53,23–30,Female,WhatsApp,More than 5 hours,Yes,Yes,No,Not Applicable,Fake Profile,WhatsApp,Never,Slightly,Loss of Confidence,4,"Friends, Family",Not Applicable,Social Media Community,"Blocked the user, Reported the account, Told Friends / Family"
15-09-2026 11:54,18–22,Female,"WhatsApp, YouTube",1–3 hours,No,No,No,Not Applicable,Body Shaming,Others,Rarely,Not at all,None,3,Friends,Not Applicable,Unknown Stranger,Ignored it
15-09-2026 12:19,18–22,Male,Instagram,3–5 hours,No,No,No,Not Applicable,Fake Profile,Instagram,Sometimes,Slightly,None,3,No,Not Applicable,Social Media Community,Took No Action
15-09-2026 12:42,18–22,Male,YouTube,1–3 hours,No,No,Yes,For fun,Offensive Comments,WhatsApp,Never,Not at all,Anger,1 (Very Low),No,Not Applicable,Friends Circle,Blocked the user
15-09-2026 12:45,23–30,Female,Instagram,3–5 hours,Yes,Yes,No,Not Applicable,"Fake Rumors, Fake Profile",Instagram,Rarely,Slightly,Stress,4,"Friends, Family",Lack of Awareness,Social Media Community,Told Friends / Family
15-09-2026 13:00,18–22,Female,"WhatsApp, YouTube",3–5 hours,No,No,No,Not Applicable,Body Shaming,YouTube,Never,Not at all,None,3,Family,Not Applicable,Social Media Community,Blocked the user
15-09-2026 14:14,18–22,Male,"Instagram, WhatsApp",3–5 hours,Yes,Yes,No,Not Applicable,"Fake Rumors, Fake Profile",Instagram,Rarely,Not at all,"Stress, Depression",4,Friends,Didn't think it was serious,Social Media Community,Ignored it
15-09-2026 14:47,18–22,Female,Instagram,Less than 1 hour,Yes,Yes,Yes,Self-defense,Hate Speech,YouTube,Sometimes,Severely,Stress,4,"Friends, Psychologist",Didn't think it was serious,Friends Circle,Blocked the user
15-09-2026 15:01,18–22,Male,WhatsApp,More than 5 hours,Yes,No,No,Not Applicable,"Offensive Comments, Body Shaming, Fake Rumors",YouTube,Sometimes,Moderately,"Stress, Depression",4,Friends,Didn't know how to report,Social Media Community,"Blocked the user, Reported the account"
15-09-2026 15:06,18–22,Male,Instagram,1–3 hours,Yes,Yes,No,Not Applicable,"Body Shaming, Hate Speech, Fake Rumors, Fake Profile",Instagram,Sometimes,Moderately,Stress,3,Psychologist,Lack of Awareness,Family,"Ignored it, Blocked the user"
15-09-2026 16:41,23–30,Female,Instagram,1–3 hours,No,Yes,No,Not Applicable,Body Shaming,Others,Never,Not at all,None,1 (Very Low),No,Didn't think it was serious,Friends Circle,Blocked the user
15-09-2026 18:27,18–22,Male,Instagram,More than 5 hours,No,Yes,No,Not Applicable,Hate Speech,WhatsApp,Rarely,Slightly,Anxiety,1 (Very Low),No,Lack of Awareness,Unknown Stranger,"Blocked the user, Reported the account"
15-09-2026 19:36,18–22,Female,"Instagram, WhatsApp",1–3 hours,No,No,No,Not Applicable,Offensive Comments,WhatsApp,Rarely,Not at all,None,1 (Very Low),No,Didn't think it was serious,Other,Took No Action
15-09-2026 20:41,18–22,Prefer not to say,WhatsApp,3–5 hours,Yes,No,No,Not Applicable,Fake Rumors,YouTube,Sometimes,Not at all,"Stress, Depression",4,No,Privacy Concerns,School / College,"Ignored it, Blocked the user"
15-09-2026 21:00,18–22,Male,"Instagram, WhatsApp",1–3 hours,No,Yes,Yes,Self-defense,Stalking,Instagram,Rarely,Not at all,Loss of Confidence,3,No,Didn't think it was serious,Online Gaming,Ignored it
15-09-2026 21:42,18–22,Male,WhatsApp,3–5 hours,No,No,Yes,Peer pressure,Fake Profile,Instagram,Rarely,Slightly,Anxiety,1 (Very Low),Friends,Lack of Awareness,Social Media Community,Took No Action
15-09-2026 21:44,18–22,Male,"WhatsApp, YouTube",1–3 hours,No,Yes,No,Not Applicable,Fake Rumors,WhatsApp,Rarely,Not at all,None,2,Family,Not Applicable,Social Media Community,Took No Action
15-09-2026 22:36,18–22,Female,"Instagram, WhatsApp, YouTube, Others",3–5 hours,Yes,Yes,No,Not Applicable,Hate Speech,Instagram,Sometimes,Moderately,"Stress, Depression",4,Friends,Didn't think it was serious,Social Media Community,Told Friends / Family
15-09-2026 22:53,23–30,Female,"Instagram, WhatsApp, YouTube",3–5 hours,No,No,Yes,I did not realize it was harmful,Fake Rumors,Instagram,Rarely,Not at all,Anger,3,Family,Not Applicable,Other,Ignored it
16-09-2026 00:39,18–22,Male,"Instagram, WhatsApp, YouTube, Others",3–5 hours,Yes,No,No,Not Applicable,Hate Speech,WhatsApp,Sometimes,Slightly,"Stress, Depression, Anger",3,No,No reason,Online Gaming,Ignored it
16-09-2026 01:34,18–22,Male,"WhatsApp, YouTube",3–5 hours,No,No,No,Not Applicable,Threats,WhatsApp,Never,Not at all,None,1 (Very Low),No,Not Applicable,Social Media Community,Took No Action
16-09-2026 01:54,18–22,Male,WhatsApp,More than 5 hours,No,No,No,Not Applicable,Body Shaming,WhatsApp,Never,Not at all,Anger,1 (Very Low),Friends,Not Applicable,Online Gaming,Took No Action
16-09-2026 02:08,23–30,Male,"Instagram, WhatsApp, YouTube",Less than 1 hour,No,Yes,No,Not Applicable,Offensive Comments,Instagram,Rarely,Not at all,None,1 (Very Low),No,Lack of Awareness,Friends Circle,"Blocked the user, Reported the account"
16-09-2026 02:44,18–22,Female,YouTube,More than 5 hours,Yes,Yes,No,Not Applicable,"Hate Speech, Threats, Fake Rumors, Fake Profile",Others,Rarely,Slightly,Stress,1 (Very Low),No,Lack of Awareness,Friends Circle,Blocked the user
16-09-2026 02:45,18–22,Male,WhatsApp,1–3 hours,Yes,No,Yes,To respond to the person,"Offensive Comments, Body Shaming, Fake Rumors",Others,Rarely,Not at all,Stress,2,No,Didn't think it was serious,Friends Circle,Ignored it
16-09-2026 02:55,18–22,Female,Instagram,More than 5 hours,No,No,Yes,To respond to the person,Threats,Instagram,Sometimes,Not at all,Anger,2,Friends,Lack of Awareness,Social Media Community,Took No Action
16-09-2026 04:07,18–22,Prefer not to say,Facebook,3–5 hours,No,Yes,No,Not Applicable,Fake Rumors,Instagram,Never,Not at all,None,2,No,Not Applicable,Unknown Stranger,"Blocked the user, Reported the account"
16-09-2026 04:09,18–22,Male,YouTube,1–3 hours,No,Yes,No,Not Applicable,Threats,YouTube,Never,Slightly,Anger,1 (Very Low),No,Didn't think it was serious,Unknown Stranger,"Ignored it, Blocked the user"
16-09-2026 04:24,23–30,Male,WhatsApp,More than 5 hours,Yes,No,No,Not Applicable,Hate Speech,WhatsApp,Never,Moderately,"Stress, Depression, Loss of Confidence",3,No,Didn't think it was serious,Friends Circle,Blocked the user
16-09-2026 04:32,23–30,Male,"WhatsApp, YouTube",3–5 hours,No,Yes,No,Not Applicable,Body Shaming,YouTube,Rarely,Not at all,None,3,No,Not Applicable,Family,"Blocked the user, Reported the account"
16-09-2026 04:44,31–40,Male,Instagram,More than 5 hours,No,Yes,No,Not Applicable,Fake Profile,Instagram,Never,Not at all,Loss of Confidence,1 (Very Low),Friends,Didn't think it was serious,Online Gaming,"Blocked the user, Reported the account"
16-09-2026 04:54,18–22,Male,"Instagram, WhatsApp",3–5 hours,No,No,No,Not Applicable,Fake Rumors,YouTube,Rarely,Slightly,Loss of Confidence,2,No,Not Applicable,Unknown Stranger,Ignored it
16-09-2026 05:04,23–30,Female,"Instagram, WhatsApp",More than 5 hours,Yes,Yes,No,Not Applicable,Fake Profile,Instagram,Often,Moderately,"Stress, Depression, Anger",3,No,Didn't think it was serious,Family,"Reported the account, Sought Professional Help"
16-09-2026 05:39,18–22,Female,YouTube,3–5 hours,No,Yes,Yes,I was angry,Offensive Comments,WhatsApp,Rarely,Slightly,Loss of Confidence,2,No,Didn't think it was serious,School / College,"Ignored it, Blocked the user"
16-09-2026 09:23,18–22,Female,YouTube,1–3 hours,Yes,No,No,Not Applicable,Threats,Others,Very Often,Not at all,"Stress, Depression, Loss of Confidence",5 (Very High),Friends,Didn't know how to report,Social Media Community,"Ignored it, Blocked the user"
16-09-2026 10:04,31–40,Male,"Instagram, WhatsApp",1–3 hours,No,Yes,No,Not Applicable,Threats,Instagram,Rarely,Moderately,Anger,1 (Very Low),Family,Not Applicable,Friends Circle,"Reported the account, Sought Professional Help"
16-09-2026 10:09,18–22,Female,YouTube,1–3 hours,No,No,Yes,I did not realize it was harmful,Offensive Comments,YouTube,Sometimes,Slightly,None,3,No,Lack of Awareness,Family,Ignored it
16-09-2026 10:13,18–22,Female,Instagram,Less than 1 hour,Yes,Yes,No,Not Applicable,Fake Profile,Instagram,Rarely,Not at all,Anger,4,"Friends, Family",Privacy Concerns,Unknown Stranger,"Reported the account, Told Friends / Family"
16-09-2026 10:30,18–22,Male,WhatsApp,More than 5 hours,No,Yes,No,Not Applicable,Offensive Comments,YouTube,Rarely,Slightly,None,3,Friends,Didn't think it was serious,Online Gaming,Blocked the user
16-09-2026 12:31,18–22,Female,"Instagram, WhatsApp, YouTube",1–3 hours,No,Yes,No,Not Applicable,Offensive Comments,Facebook,Never,Not at all,Anxiety,1 (Very Low),Friends,Lack of Awareness,School / College,"Reported the account, Told Friends / Family"
16-09-2026 12:41,18–22,Female,Instagram,1–3 hours,Yes,No,No,Not Applicable,"Offensive Comments, Hate Speech, Fake Profile",WhatsApp,Often,Severely,Loss of Confidence,4,Family,Privacy Concerns,Social Media Community,"Ignored it, Blocked the user"
16-09-2026 12:43,18–22,Male,"Instagram, WhatsApp, YouTube, Others",1–3 hours,No,Yes,No,Not Applicable,Body Shaming,Instagram,Never,Not at all,None,1 (Very Low),No,Didn't think it was serious,Other,"Blocked the user, Reported the account, Told Friends / Family"
16-09-2026 12:47,23–30,Female,"Instagram, WhatsApp, YouTube, Others",1–3 hours,Yes,Yes,No,Not Applicable,Offensive Comments,Others,Very Often,Severely,Loss of Confidence,3,No,Didn't think it was serious,Online Gaming,Blocked the user
16-09-2026 12:54,18–22,Male,Instagram,Less than 1 hour,No,No,Yes,I did not realize it was harmful,Offensive Comments,Instagram,Never,Moderately,None,1 (Very Low),Family,Lack of Awareness,Unknown Stranger,Took No Action
16-09-2026 13:48,18–22,Male,"WhatsApp, YouTube",3–5 hours,Yes,Yes,No,Not Applicable,"Offensive Comments, Hate Speech, Fake Profile",Others,Rarely,Moderately,None,4,Psychologist,Didn't think it was serious,Online Gaming,"Blocked the user, Reported the account"
16-09-2026 15:24,18–22,Male,"Instagram, WhatsApp",More than 5 hours,Yes,Yes,No,Not Applicable,Body Shaming,Instagram,Rarely,Moderately,None,3,Psychologist,No reason,Social Media Community,Told Friends / Family
16-09-2026 15:34,23–30,Male,"Instagram, WhatsApp, YouTube",3–5 hours,Yes,Yes,No,Not Applicable,"Offensive Comments, Hate Speech, Fake Profile",Instagram,Rarely,Moderately,Anxiety,3,Friends,Privacy Concerns,Social Media Community,Blocked the user
16-09-2026 17:36,18–22,Male,"WhatsApp, YouTube",More than 5 hours,No,No,No,Not Applicable,Stalking,Facebook,Never,Moderately,Loss of Confidence,2,No,Not Applicable,Unknown Stranger,Took No Action
16-09-2026 17:56,18–22,Male,"Instagram, WhatsApp, YouTube",1–3 hours,No,No,No,Not Applicable,Stalking,Others,Never,Not at all,Loss of Confidence,1 (Very Low),No,Not Applicable,School / College,Took No Action
16-09-2026 19:07,23–30,Male,"Instagram, WhatsApp, YouTube",More than 5 hours,No,Yes,Yes,I was angry,Body Shaming,WhatsApp,Never,Slightly,Anger,2,Friends,Didn't think it was serious,Online Gaming,Told Friends / Family
16-09-2026 19:13,23–30,Male,Instagram,1–3 hours,No,Yes,No,Not Applicable,Offensive Comments,WhatsApp,Rarely,Not at all,Anger,1 (Very Low),Family,Lack of Awareness,Social Media Community,Told Friends / Family
16-09-2026 19:49,18–22,Male,Facebook,3–5 hours,No,No,No,Not Applicable,Body Shaming,WhatsApp,Sometimes,Not at all,None,2,No,Lack of Awareness,Friends Circle,Took No Action
16-09-2026 19:54,23–30,Female,"Instagram, WhatsApp, YouTube",1–3 hours,Yes,No,No,Not Applicable,Hate Speech,YouTube,Often,Slightly,"Stress, Depression, Anger",3,Family,No reason,Family,"Reported the account, Told Friends / Family"
16-09-2026 20:52,31–40,Female,Facebook,Less than 1 hour,Yes,Yes,No,Not Applicable,"Fake Rumors, Fake Profile",WhatsApp,Very Often,Slightly,Anger,3,No,Privacy Concerns,Unknown Stranger,"Blocked the user, Reported the account"
16-09-2026 22:46,23–30,Female,WhatsApp,More than 5 hours,No,No,Yes,Other,Hate Speech,Instagram,Rarely,Slightly,None,2,Family,Lack of Awareness,Family,Ignored it
16-09-2026 23:12,23–30,Male,YouTube,3–5 hours,No,No,No,Not Applicable,Fake Profile,WhatsApp,Never,Not at all,Loss of Confidence,2,No,Not Applicable,Friends Circle,Ignored it
17-09-2026 00:44,23–30,Female,Instagram,1–3 hours,Yes,Yes,No,Not Applicable,Fake Profile,Instagram,Rarely,Slightly,None,1 (Very Low),Friends,Didn't think it was serious,Social Media Community,"Ignored it, Blocked the user"
