Variable,Group_Descriptives,Levene_p,Homoscedasticity,ANOVA_F,ANOVA_p,Eta_Squared,Kruskal_H,Kruskal_p,Primary_Recommendation
Emotional_Impact_Severity (1–5),"Not at all: M=1.72, SD=0.99 | Slightly: M=2.12, SD=1.17 | Moderately: M=2.50, SD=1.34 | Severely: M=3.05, SD=1.21",9.5519e-05,Violated,22.15,1.7276e-13,0.1163,54.647,8.1650e-12,Kruskal-Wallis (Non-Parametric)
Daily_Usage_Hours_Midpoint,"Not at all: M=3.14, SD=1.70 | Slightly: M=3.02, SD=1.72 | Moderately: M=3.19, SD=1.70 | Severely: M=2.88, SD=1.44",6.7384e-01,Satisfied,0.484,6.9368e-01,0.0028,1.127,7.7049e-01,ANOVA (Parametric)
